employee_id	gender	education	family_status	hire_date	passposrt	phone	home_address	name	birthday	contract_type
164	М	Высшее образование	Женат/Замужем	30/10/2006	4043 3083895	+81 (276) 250-2363	31337 Norway Maple Court	Trudy Garnsworth	07/09/1978	Гражданско-правовой договор
165	Ж	Высшее образование	Не женат/Не замужем	23/03/2016	4356 2162880	+62 (665) 869-7813	2 Meadow Vale Hill	Remington Pavese	18/11/1970	Срочный договор
166	Ж	Неполное среднее образование	Не женат/Не замужем	30/04/2002	4264 1588401	+86 (826) 827-7554	1168 1st Pass	Miguel Easeman	26/01/1974	Гражданско-правовой договор
167	М	Неполное высшее образование	Не женат/Не замужем	22/01/2020	2916 3744615	+389 (481) 107-0352	9 Bluejay Street	Caresse Skiggs	25/07/1975	Гражданско-правовой договор
168	Ж	Неполное среднее образование	Женат/Замужем	08/08/2015	8048 8494126	+63 (856) 515-8809	859 Oxford Way	Corenda Hanselmann	26/06/1975	Гражданско-правовой договор
169	Ж	Высшее образование	Не женат/Не замужем	01/07/2013	6218 7166170	+55 (836) 875-2167	32778 Northland Hill	Gussy Gunningham	27/09/1971	Срочный договор
170	М	Неполное высшее образование	Женат/Замужем	18/07/2012	2445 3631018	+66 (989) 351-1233	49025 American Ash Hill	Salaidh Moulden	06/08/1981	Трудовой договор
171	Ж	Высшее образование	Женат/Замужем	14/11/2006	6328 3287903	+55 (528) 533-8990	11339 Sloan Court	Alia Faye	24/05/1987	Срочный договор
172	М	Неполное высшее образование	Не женат/Не замужем	20/08/2008	4165 6156576	+48 (672) 444-8245	88607 Riverside Court	Bobine Goford	10/02/1965	Срочный договор
173	Ж	Неполное среднее образование	Женат/Замужем	28/05/2012	2111 3841238	+63 (123) 337-5270	714 Amoth Lane	Misha Rapport	12/11/1966	Срочный договор
174	Ж	Неполное высшее образование	Женат/Замужем	02/04/2003	3216 4142526	+375 (830) 607-7147	1018 Declaration Alley	Laverna Espasa	26/04/1991	Гражданско-правовой договор
175	М	Неполное среднее образование	Не женат/Не замужем	11/09/2009	4413 9057748	+351 (813) 315-7273	6 High Crossing Plaza	Barri Braycotton	19/01/1969	Гражданско-правовой договор
176	Ж	Неполное высшее образование	Женат/Замужем	07/07/2004	1902 5759990	+351 (437) 747-8870	53503 Banding Drive	Caro Arkley	31/08/1969	Гражданско-правовой договор
177	М	Среднее образование	Женат/Замужем	30/09/2016	3840 3661979	+62 (814) 584-7611	54122 Logan Junction	Imogen Luker	19/07/1991	Трудовой договор
178	Ж	Неполное среднее образование	Женат/Замужем	05/01/2020	9550 2819500	+374 (386) 541-9979	86 New Castle Crossing	Joachim Shurmore	10/10/1973	Трудовой договор
179	М	Среднее образование	Не женат/Не замужем	28/08/2008	6738 2993942	+55 (841) 445-0876	511 Cottonwood Junction	Birdie Domney	22/08/1984	Гражданско-правовой договор
180	М	Неполное среднее образование	Не женат/Не замужем	17/01/2016	3312 3298463	+62 (141) 909-4558	5222 Forest Run Plaza	Foster McGifford	23/04/1973	Срочный договор
181	М	Неполное среднее образование	Не женат/Не замужем	07/06/2003	9766 5105951	+374 (263) 638-4317	87981 Hoepker Pass	Celia Tilsley	02/06/1992	Гражданско-правовой договор
182	М	Высшее образование	Женат/Замужем	20/01/2016	5001 8936561	+33 (902) 347-2428	68202 Nancy Trail	Juliana Sennett	02/07/1984	Срочный договор
183	Ж	Неполное среднее образование	Не женат/Не замужем	22/12/2019	6686 8418431	+963 (974) 952-6732	358 Buell Alley	Honey Ascraft	28/06/1967	Срочный договор
184	М	Неполное высшее образование	Женат/Замужем	29/08/2012	5381 4816490	+55 (219) 873-1730	12788 Moose Drive	Gladys Husby	09/02/1981	Срочный договор
185	М	Неполное высшее образование	Не женат/Не замужем	20/09/2011	8561 9659997	+63 (137) 409-7928	48 Maple Center	Kendrick Laidel	28/07/1972	Трудовой договор
186	Ж	Среднее образование	Не женат/Не замужем	30/12/2017	7573 5508199	+998 (213) 674-6313	29 Hazelcrest Junction	Alvin Moland	15/10/1986	Срочный договор
187	Ж	Неполное высшее образование	Женат/Замужем	11/09/2009	2558 1836098	+86 (340) 130-4570	9510 Montana Drive	Hollie Thomassin	12/12/1984	Гражданско-правовой договор
188	Ж	Высшее образование	Не женат/Не замужем	17/02/2018	4384 6363413	+242 (772) 938-5381	60 Stephen Road	Halsey Arson	28/02/1965	Гражданско-правовой договор
189	Ж	Высшее образование	Не женат/Не замужем	27/10/2016	6866 7412450	+370 (394) 617-3294	52119 Stoughton Point	Giuditta Charles	05/06/1995	Срочный договор
190	Ж	Среднее образование	Не женат/Не замужем	03/03/2017	4846 1614805	+86 (931) 195-8938	1 Browning Center	Anette Studart	20/10/1995	Гражданско-правовой договор
191	М	Среднее образование	Не женат/Не замужем	21/03/2001	6109 4129051	+98 (720) 261-2332	4903 Parkside Park	Gard Swyre	26/06/1992	Гражданско-правовой договор
192	Ж	Неполное среднее образование	Не женат/Не замужем	28/05/2007	5452 1745854	+389 (625) 163-5885	06 Bultman Pass	Gunner Kivelhan	06/05/1967	Трудовой договор
193	М	Неполное среднее образование	Женат/Замужем	10/12/2000	7089 7796817	+55 (889) 883-7295	5699 Thierer Place	Devon Leguay	28/11/1977	Трудовой договор
194	Ж	Высшее образование	Не женат/Не замужем	20/07/2016	8600 4501709	+27 (338) 351-5569	1413 Caliangt Street	Lowrance Ashpital	15/10/1970	Гражданско-правовой договор
195	Ж	Неполное высшее образование	Не женат/Не замужем	28/08/2003	2135 5311309	+52 (433) 705-7041	39294 Birchwood Terrace	Sim Happer	22/09/1971	Трудовой договор
196	Ж	Неполное высшее образование	Женат/Замужем	16/01/2013	5440 9256718	+63 (794) 577-3897	036 Oak Valley Way	Reynard McCleary	16/10/1992	Трудовой договор
197	М	Высшее образование	Женат/Замужем	08/03/2003	9665 4687077	+1 (305) 483-9803	35228 6th Center	Freeland Cotte	14/06/1984	Срочный договор
198	М	Неполное среднее образование	Женат/Замужем	06/09/2004	4730 7824831	+66 (186) 318-3268	30126 Northview Road	Ardyth Mingotti	13/10/1966	Гражданско-правовой договор
199	Ж	Неполное среднее образование	Женат/Замужем	07/07/2006	9219 8615809	+1 (337) 406-5751	6129 West Alley	Sue Fidelli	14/11/1967	Срочный договор
200	Ж	Неполное среднее образование	Не женат/Не замужем	03/09/2017	1373 4703021	+63 (370) 709-7097	44 Wayridge Way	Kevyn Cheverell	19/12/1990	Срочный договор
